old_entrez_gene_id	new_entrez_gene_id	date
5022	53947	20050510
5038	389884	20070207
5039	8106	20050510
5040	285314	20050510
5041	341315	20081025
5059	10606	20050509
5060	780814	20110116
5061	780815	20110116
5065	1075	20050510
5070	6622	20050510
5085	4299	20050509
5086	3815	20060608
5103	3872	20050510
5107	5589	20060608
5114	359806	20050805
5115	359805	20050805
5117	649	20050505
5123	5045	20050502
5124	54760	20050503
5135	1594	20050510
5180	56652	20050510
5181	55748	20050510
5186	51056	20050510
5200	5199	20050503
5206	8647	20050502
5215	5213	20070315
5220	643834	20061208
5221	643847	20061208
5227	342705	20101106
5234	6392	20050509
5235	54949	20100220
5237	55276	20050509
5240	283871	20080820
5242	8905	20141125
5247	100418837	20110906
5248	391044	20110805
5249	100418774	20110805
5254	5256	20050510
5263	6658	20080817
5285	5177	20141025
5299	390502	20050510
5323	729330	20050217
5344	285189	20050524
5353	7305	20050510
5363	55558	20050509
5374	390831	20111015
5381	5387	20050510
5384	5379	20050510
5385	5379	20100313
5386	5379	20080814
5388	100288713	20100803
5389	441263	20050519
5390	64599	20050510
5391	100132832	20140207
5392	100101440	20100303
5405	25953	20060227
5421	2332	20081118
5448	3145	20100321
5461	642559	20070619
5466	57335	20090129
5472	100289640	20110106
5474	728045	20090123
5477	659	20060608
5482	51645	20050509
5484	319128	20090201
5490	341457	20070620
5492	8456	20060131
5497	54704	20050510
5503	84152	20050510
5508	84687	20050217
5513	6041	20060608
5543	653247	20050502
5556	3087	20050510
5560	8165	20050509
5561	11217	20050510
5572	51422	20050509
5614	441733	20050510
5622	4000	20050502
5632	221823	20050510
5633	100421295	20101221
5642	5119	20050510
5647	5646	20050510
5656	7068	20080913
5658	170302	20050217
5659	1311	20050510
5674	3107	20060914
5677	440533	20050519
5679	653492	20050519
5712	9861	20050515
5722	79092	20141126
5748	2185	20050503
5749	780	20050504
5751	7294	20050506
5752	2444	20050507
5755	4486	20060113
5762	150928	20080405
5766	8073	20050510
5772	646981	20111206
5773	646758	20111116
5776	84867	20050509
5779	26191	20050502
5821	6638	20081118
5823	368	20060512
5882	2237	20050510
5895	348910	20050510
5904	727851	20061118
5943	100287769	20070624
5946	375850	20050509
5951	157570	20050804
5952	7428	20050510
5958	114625	20060114
5960	6510	20050510
5963	643244	20111001
5974	10084	20050622
6020	3640	20050510
6021	54714	20071101
6028	125050	20050510
6040	284203	20050510
6042	6080	20050510
6062	26863	20091106
6067	780851	20070525
6081	26768	20141125
6105	3614	20060512
6106	26121	20050510
6107	23418	20050510
6108	10594	20050510
6109	7287	20050510
6110	6103	20050510
6111	762	20060608
6112	9129	20050510
6113	24	20050510
6115	8481	20141125
6127	647436	20090210
6149	401904	20070607
6162	100131339	20090210
6220	646013	20090213
6250	2887	20050502
6254	4204	20050502
6306	114625	20060131
6312	25894	20070427
6313	6712	20060212
6321	64421	20050502
6325	6326	20070331
